location,city,property_type,bedrooms,bathrooms,size_sqm,furnished,serviced,annual_rent,listing_date,listing_url
Lekki Phase 1,Lagos,mansion,4,4,892,yes,no,15200000,06/08/2026,#######
Surulere,Lagos,duplex,2,2,129,yes,not stated,3700000,03/08/2026,#######
Life Camp,Abuja,mansion,5,6,516,yes,no,8500000,13/08/2026,#######
Lugbe,Abuja,penthouse,5,5,,yes,no,6600000,06/08/2026,#######
Ikeja GRA,Lagos,duplex,2,2,,not stated,not stated,3200000,13/08/2026,#######
Lugbe,Abuja,penthouse,2,3,136,no,yes,4300000,05/08/2026,#######
Sangotedo,Lagos,duplex,2,3,53,yes,no,2200000,15/08/2026,#######
Gbagada,Lagos,penthouse,4,4,,yes,yes,6600000,15/08/2026,#######
VGC,Lagos,self-contain,0,1,63,yes,not stated,500000,17/08/2026,#######
Guzape,Abuja,terrace,3,2,,not stated,not stated,5800000,13/08/2026,#######
Maitama,Abuja,mansion,2,3,866,not stated,not stated,15100000,14/08/2026,#######
Garki,Abuja,duplex,1,2,125,no,no,1500000,04/08/2026,#######
Garki,Abuja,penthouse,2,3,,yes,not stated,5300000,09/08/2026,#######
Lekki Phase 2,Lagos,penthouse,2,2,112,no,no,4500000,01/08/2026,#######
Gwarinpa,Abuja,self-contain,0,1,88,no,yes,500000,01/08/2026,#######
Asokoro,Abuja,duplex,2,3,122,not stated,yes,6200000,10/08/2026,#######
Guzape,Abuja,penthouse,5,6,530,not stated,not stated,10400000,14/08/2026,#######
Ajah,Lagos,mansion,6,5,,not stated,yes,10100000,12/08/2026,#######
Katampe,Abuja,mansion,5,5,,not stated,no,8400000,12/08/2026,#######
Katampe,Abuja,self-contain,0,1,,not stated,not stated,400000,07/08/2026,#######
Gbagada,Lagos,bungalow,2,3,136,not stated,yes,2100000,17/08/2026,#######
Gwarinpa,Abuja,duplex,1,1,116,yes,yes,3800000,14/08/2026,#######
Yaba,Lagos,mansion,1,1,548,yes,no,4300000,03/08/2026,#######
Maryland,Lagos,terrace,6,6,,yes,no,6700000,01/08/2026,#######
Ajah,Lagos,bungalow,3,4,188,no,no,4400000,03/08/2026,#######
Ajah,Lagos,bungalow,3,3,,no,not stated,3700000,18/08/2026,#######
Asokoro,Abuja,mansion,4,3,638,no,not stated,17100000,18/08/2026,#######
Allen,Lagos,self-contain,0,1,108,no,no,1200000,11/08/2026,#######
Gwarinpa,Abuja,mansion,2,3,864,not stated,no,12600000,11/08/2026,#######
Guzape,Abuja,self-contain,0,1,,no,yes,1400000,02/08/2026,#######
Surulere,Lagos,bungalow,3,2,474,not stated,no,3300000,09/08/2026,#######
Lekki Phase 2,Lagos,mansion,2,2,,yes,yes,6600000,02/08/2026,#######
Opebi,Lagos,penthouse,3,2,,no,not stated,5600000,08/08/2026,#######
Jahi,Abuja,flat,3,4,260,yes,no,5500000,17/08/2026,#######
Guzape,Abuja,duplex,2,3,140,yes,yes,4000000,04/08/2026,#######
Maitama,Abuja,bungalow,4,4,428,not stated,not stated,6700000,18/08/2026,#######
Asokoro,Abuja,penthouse,4,3,735,no,no,12700000,10/08/2026,#######
Gwarinpa,Abuja,penthouse,2,3,43,not stated,yes,7700000,12/08/2026,#######
Allen,Lagos,penthouse,3,2,,yes,not stated,5700000,11/08/2026,#######
Guzape,Abuja,self-contain,0,1,130,not stated,no,800000,17/08/2026,#######
Ikeja,Lagos,flat,4,5,747,no,not stated,5600000,07/08/2026,#######
Gwarinpa,Abuja,penthouse,2,2,,yes,yes,7500000,07/08/2026,#######
Asokoro,Abuja,terrace,3,2,,no,yes,6700000,09/08/2026,#######
Magodo,Lagos,self-contain,0,1,77,no,not stated,1300000,03/08/2026,#######
Gwarinpa,Abuja,penthouse,2,3,,no,not stated,8600000,01/08/2026,#######
VGC,Lagos,mansion,5,5,730,yes,yes,12900000,06/08/2026,#######
Garki,Abuja,terrace,2,3,99,yes,not stated,2200000,02/08/2026,#######
Ikeja,Lagos,flat,4,4,589,no,yes,4800000,18/08/2026,#######
Mabushi,Abuja,mansion,3,4,,yes,yes,6500000,04/08/2026,#######
Lugbe,Abuja,penthouse,3,3,,no,no,4500000,11/08/2026,#######
Lugbe,Abuja,duplex,3,3,161,no,not stated,3200000,14/08/2026,#######
Yaba,Lagos,mansion,3,4,728,not stated,yes,7400000,16/08/2026,#######
Yaba,Lagos,penthouse,2,3,65,not stated,not stated,4000000,08/08/2026,#######
Ikeja GRA,Lagos,terrace,6,7,782,not stated,yes,7100000,07/08/2026,#######
Maitama,Abuja,mansion,2,2,855,not stated,yes,17000000,11/08/2026,#######
Garki,Abuja,duplex,3,2,319,yes,not stated,4600000,05/08/2026,#######
Guzape,Abuja,mansion,3,2,836,yes,not stated,13800000,07/08/2026,#######
Gwarinpa,Abuja,terrace,6,5,,not stated,no,7500000,12/08/2026,#######
Gwarinpa,Abuja,self-contain,0,1,80,yes,yes,1000000,09/08/2026,#######
Sangotedo,Lagos,duplex,4,5,,no,no,5600000,18/08/2026,#######
Ilupeju,Lagos,bungalow,3,4,476,not stated,no,4100000,08/08/2026,#######
Ikeja,Lagos,self-contain,0,1,94,no,no,100000,15/08/2026,#######
Ojodu Berger,Lagos,self-contain,0,1,96,yes,no,0,15/08/2026,#######
Yaba,Lagos,flat,2,3,150,not stated,yes,2400000,09/08/2026,#######
Dutse,Abuja,flat,4,4,,not stated,not stated,4900000,13/08/2026,#######
Ojodu Berger,Lagos,duplex,2,1,,not stated,no,3500000,17/08/2026,#######
Maitama,Abuja,bungalow,3,4,,yes,not stated,6700000,18/08/2026,#######
Guzape,Abuja,bungalow,3,2,421,not stated,no,4500000,03/08/2026,#######
Guzape,Abuja,bungalow,1,2,50,not stated,not stated,3200000,15/08/2026,#######
Gbagada,Lagos,self-contain,0,1,70,yes,not stated,700000,03/08/2026,#######
Ajah,Lagos,bungalow,2,1,,yes,yes,2300000,10/08/2026,#######
Maryland,Lagos,terrace,1,1,150,not stated,yes,2200000,03/08/2026,#######
Ojodu Berger,Lagos,mansion,2,3,729,not stated,yes,6000000,16/08/2026,#######
Apo,Abuja,duplex,4,3,591,not stated,no,4600000,03/08/2026,#######
Allen,Lagos,penthouse,4,5,613,not stated,no,6500000,04/08/2026,#######
Magodo,Lagos,penthouse,2,1,115,no,yes,6200000,08/08/2026,#######
Ikeja GRA,Lagos,penthouse,1,1,121,not stated,yes,5800000,09/08/2026,#######
Ilupeju,Lagos,self-contain,0,1,125,no,no,1000000,10/08/2026,#######
Asokoro,Abuja,flat,4,4,215,not stated,not stated,6600000,04/08/2026,#######
Life Camp,Abuja,terrace,5,4,272,yes,not stated,5800000,09/08/2026,#######
Ikeja,Lagos,self-contain,0,1,53,no,yes,300000,09/08/2026,#######
Apo,Abuja,mansion,3,2,1144,yes,not stated,7100000,09/08/2026,#######
Amuwo Odofin,Lagos,self-contain,0,1,83,no,yes,700000,09/08/2026,#######
Ojodu Berger,Lagos,bungalow,3,2,337,not stated,yes,3300000,17/08/2026,#######
Maitama,Abuja,flat,1,1,95,yes,yes,5400000,01/08/2026,#######
Festac,Lagos,flat,2,2,117,yes,yes,2600000,16/08/2026,#######
Wuse 1,Abuja,duplex,2,1,124,yes,no,3900000,06/08/2026,#######
Maitama,Abuja,duplex,5,5,,yes,not stated,7500000,12/08/2026,#######
Apo,Abuja,mansion,2,1,1185,yes,not stated,6600000,11/08/2026,#######
Lugbe,Abuja,terrace,2,3,129,not stated,not stated,4000000,15/08/2026,#######
Lokogoma,Abuja,mansion,4,5,704,no,no,7400000,13/08/2026,#######
Mabushi,Abuja,flat,2,1,69,no,yes,2700000,10/08/2026,#######
Jahi,Abuja,duplex,4,4,522,no,yes,6400000,08/08/2026,#######
Dutse,Abuja,penthouse,2,2,,not stated,yes,3700000,05/08/2026,#######
Gbagada,Lagos,terrace,4,3,339,yes,yes,5600000,14/08/2026,#######
Magodo,Lagos,bungalow,3,2,,yes,yes,3900000,13/08/2026,#######
Asokoro,Abuja,bungalow,3,2,701,not stated,no,6200000,07/08/2026,#######
Surulere,Lagos,duplex,3,2,754,yes,yes,3400000,14/08/2026,#######
Ilupeju,Lagos,flat,4,4,560,not stated,not stated,4900000,01/08/2026,#######
Ikeja GRA,Lagos,terrace,2,3,130,yes,not stated,4100000,10/08/2026,#######
Surulere,Lagos,terrace,3,4,745,not stated,not stated,3200000,13/08/2026,#######
Dutse,Abuja,self-contain,0,1,90,not stated,yes,600000,08/08/2026,#######
Gbagada,Lagos,bungalow,3,4,681,yes,not stated,4800000,03/08/2026,#######
Life Camp,Abuja,mansion,2,3,759,not stated,yes,6300000,06/08/2026,#######
Gbagada,Lagos,terrace,6,7,241,no,no,6000000,04/08/2026,#######
Wuse 2,Abuja,mansion,1,1,1084,not stated,not stated,16100000,17/08/2026,#######
Opebi,Lagos,self-contain,0,1,,no,no,1500000,04/08/2026,#######
Dutse,Abuja,bungalow,4,3,224,not stated,yes,5000000,14/08/2026,#######
Amuwo Odofin,Lagos,mansion,3,4,1083,not stated,not stated,6600000,03/08/2026,#######
Life Camp,Abuja,bungalow,5,4,,yes,yes,4900000,02/08/2026,#######
Victoria Island,Lagos,bungalow,2,3,118,not stated,no,4100000,17/08/2026,#######
Katampe,Abuja,bungalow,1,1,,no,yes,2300000,05/08/2026,#######
Lokogoma,Abuja,self-contain,0,1,,not stated,yes,100000,03/08/2026,#######
Mabushi,Abuja,terrace,2,2,45,no,not stated,2400000,07/08/2026,#######
Ikoyi,Lagos,terrace,1,1,,not stated,yes,3600000,12/08/2026,#######
Lugbe,Abuja,self-contain,0,1,69,no,not stated,1000000,07/08/2026,#######
Ojodu Berger,Lagos,flat,4,5,240,not stated,no,4500000,05/08/2026,#######
Festac,Lagos,penthouse,2,3,60,no,no,3800000,14/08/2026,#######
Lokogoma,Abuja,duplex,2,2,112,not stated,no,3200000,16/08/2026,#######
Gwarinpa,Abuja,bungalow,2,2,60,not stated,yes,4500000,10/08/2026,#######
Ilupeju,Lagos,self-contain,0,1,111,not stated,no,0,18/08/2026,#######
Amuwo Odofin,Lagos,flat,2,3,119,yes,no,2900000,16/08/2026,#######
Wuse 1,Abuja,flat,4,5,488,yes,not stated,5400000,01/08/2026,#######
Amuwo Odofin,Lagos,self-contain,0,1,126,no,yes,1100000,06/08/2026,#######
Lugbe,Abuja,bungalow,3,3,,yes,not stated,3500000,05/08/2026,#######
Gwarinpa,Abuja,duplex,2,3,,no,yes,3700000,10/08/2026,#######
Lokogoma,Abuja,bungalow,5,6,284,not stated,yes,5200000,06/08/2026,#######
Mabushi,Abuja,duplex,2,1,91,not stated,not stated,3700000,16/08/2026,#######
Gbagada,Lagos,flat,3,4,686,not stated,yes,4400000,07/08/2026,#######
Opebi,Lagos,terrace,4,4,627,yes,not stated,4800000,11/08/2026,#######
Ikeja,Lagos,duplex,1,1,,yes,no,2600000,14/08/2026,#######
VGC,Lagos,mansion,3,4,803,no,not stated,11200000,16/08/2026,#######
Lekki Phase 1,Lagos,self-contain,0,1,145,not stated,yes,800000,18/08/2026,#######
Ojodu Berger,Lagos,mansion,3,3,,yes,yes,6800000,05/08/2026,#######
Maryland,Lagos,duplex,5,5,323,yes,not stated,4800000,11/08/2026,#######
Maitama,Abuja,mansion,5,4,1197,not stated,no,18500000,06/08/2026,#######
Ojodu Berger,Lagos,terrace,3,2,236,not stated,no,3000000,12/08/2026,#######
Festac,Lagos,duplex,2,2,45,yes,no,2400000,05/08/2026,#######
Allen,Lagos,penthouse,3,4,286,yes,no,5900000,01/08/2026,#######
Wuse 2,Abuja,self-contain,0,1,141,not stated,no,800000,14/08/2026,#######
Apo,Abuja,terrace,4,5,293,yes,yes,4800000,10/08/2026,#######
Ikeja,Lagos,flat,4,4,302,yes,no,4200000,13/08/2026,#######
Jahi,Abuja,self-contain,0,1,108,not stated,not stated,1500000,07/08/2026,#######
Garki,Abuja,self-contain,0,1,143,no,yes,-100000,07/08/2026,#######
Wuse 1,Abuja,self-contain,0,1,135,not stated,no,500000,14/08/2026,#######
Gbagada,Lagos,flat,1,2,123,no,not stated,2400000,18/08/2026,#######
Yaba,Lagos,bungalow,4,4,,yes,yes,5300000,13/08/2026,#######
Victoria Island,Lagos,terrace,3,4,341,no,no,5500000,02/08/2026,#######
Ikeja GRA,Lagos,self-contain,0,1,98,yes,no,1600000,16/08/2026,#######
Sangotedo,Lagos,flat,2,1,41,not stated,not stated,2100000,02/08/2026,#######
Life Camp,Abuja,duplex,2,1,114,no,not stated,2400000,06/08/2026,#######
Sangotedo,Lagos,duplex,1,1,,no,yes,3000000,18/08/2026,#######
Ilupeju,Lagos,flat,2,3,,no,not stated,4000000,13/08/2026,#######
Wuse 2,Abuja,bungalow,3,2,,no,no,7300000,01/08/2026,#######
Mabushi,Abuja,duplex,3,2,676,not stated,no,3000000,16/08/2026,#######
Lokogoma,Abuja,duplex,1,2,,not stated,not stated,1300000,07/08/2026,#######
Katampe,Abuja,penthouse,2,2,,no,no,4100000,16/08/2026,#######
Maitama,Abuja,flat,1,1,49,not stated,no,4400000,04/08/2026,#######
Garki,Abuja,duplex,5,5,,not stated,not stated,4700000,18/08/2026,#######
Opebi,Lagos,duplex,4,4,,yes,yes,4000000,05/08/2026,#######
Victoria Island,Lagos,flat,3,4,196,yes,yes,6200000,14/08/2026,#######
Festac,Lagos,penthouse,3,4,536,no,not stated,4600000,07/08/2026,#######
Garki,Abuja,flat,2,3,113,no,yes,3000000,08/08/2026,#######
Lugbe,Abuja,terrace,2,2,,no,not stated,3600000,14/08/2026,#######
Guzape,Abuja,bungalow,1,1,106,not stated,yes,4100000,06/08/2026,#######
Opebi,Lagos,terrace,1,1,144,no,not stated,3000000,01/08/2026,#######
Maitama,Abuja,mansion,3,4,,not stated,yes,17700000,09/08/2026,#######
Lugbe,Abuja,mansion,4,3,,yes,no,7600000,15/08/2026,#######
Lekki Phase 2,Lagos,self-contain,0,1,52,not stated,yes,1100000,10/08/2026,#######
Victoria Island,Lagos,terrace,4,3,404,no,yes,6200000,07/08/2026,#######
Apo,Abuja,flat,3,3,348,yes,not stated,3300000,10/08/2026,#######
Asokoro,Abuja,terrace,3,3,258,yes,yes,6700000,14/08/2026,#######
Ikeja,Lagos,mansion,3,3,520,not stated,no,5900000,13/08/2026,#######
Wuse 2,Abuja,penthouse,1,1,61,no,yes,10200000,01/08/2026,#######
Victoria Island,Lagos,mansion,3,2,,no,not stated,15000000,11/08/2026,#######
Sangotedo,Lagos,self-contain,0,1,59,yes,not stated,0,03/08/2026,#######
Amuwo Odofin,Lagos,terrace,4,3,466,not stated,no,5600000,13/08/2026,#######
Apo,Abuja,penthouse,2,3,,yes,no,5300000,02/08/2026,#######
Wuse 2,Abuja,terrace,2,3,,not stated,not stated,5500000,07/08/2026,#######
Maitama,Abuja,penthouse,2,3,106,yes,yes,11700000,17/08/2026,#######
Yaba,Lagos,mansion,5,6,679,no,no,9000000,18/08/2026,#######
Wuse 2,Abuja,terrace,1,1,42,yes,yes,5700000,13/08/2026,#######
Wuse 2,Abuja,bungalow,3,3,206,yes,no,6400000,14/08/2026,#######
Festac,Lagos,duplex,2,1,76,no,no,3000000,03/08/2026,#######
Gbagada,Lagos,penthouse,5,6,,yes,not stated,6500000,03/08/2026,#######
Ikeja,Lagos,penthouse,6,7,,no,no,7900000,05/08/2026,#######
Lekki Phase 1,Lagos,duplex,3,3,431,not stated,not stated,6700000,09/08/2026,#######
Asokoro,Abuja,terrace,3,3,306,no,not stated,6200000,13/08/2026,#######
Life Camp,Abuja,flat,5,4,484,yes,not stated,4900000,13/08/2026,#######
Lokogoma,Abuja,mansion,4,4,,no,yes,8100000,15/08/2026,#######
Wuse 1,Abuja,bungalow,2,1,137,no,not stated,3700000,06/08/2026,#######
Garki,Abuja,penthouse,3,3,,yes,yes,5300000,15/08/2026,#######
Ojodu Berger,Lagos,self-contain,0,1,119,not stated,no,800000,08/08/2026,#######
Lekki Phase 2,Lagos,self-contain,0,1,58,yes,yes,700000,02/08/2026,#######
Guzape,Abuja,self-contain,0,1,147,not stated,yes,1400000,13/08/2026,#######
Life Camp,Abuja,mansion,6,5,605,yes,yes,9300000,18/08/2026,#######
Jahi,Abuja,self-contain,0,1,,no,not stated,1300000,10/08/2026,#######
Lekki Phase 1,Lagos,flat,3,4,286,no,not stated,6300000,02/08/2026,#######
Maitama,Abuja,bungalow,2,1,45,yes,yes,4700000,10/08/2026,#######
Katampe,Abuja,duplex,3,4,681,no,yes,4300000,11/08/2026,#######
Katampe,Abuja,penthouse,2,2,,yes,yes,5200000,11/08/2026,#######
Ilupeju,Lagos,flat,2,2,95,yes,not stated,3300000,01/08/2026,#######
Amuwo Odofin,Lagos,flat,2,1,117,no,not stated,2600000,03/08/2026,#######
Opebi,Lagos,terrace,1,1,,yes,yes,2100000,10/08/2026,#######
VGC,Lagos,mansion,1,2,,no,not stated,10000000,06/08/2026,#######
Asokoro,Abuja,duplex,3,4,,yes,no,6200000,18/08/2026,#######
Festac,Lagos,flat,4,3,316,not stated,yes,5500000,17/08/2026,#######
Lokogoma,Abuja,self-contain,0,1,69,not stated,no,1600000,09/08/2026,#######
Gwarinpa,Abuja,bungalow,2,2,145,not stated,no,5100000,05/08/2026,#######
Asokoro,Abuja,penthouse,3,4,214,no,not stated,11800000,13/08/2026,#######
Maitama,Abuja,flat,1,2,43,yes,yes,5100000,09/08/2026,#######
Lugbe,Abuja,self-contain,0,1,68,no,yes,300000,05/08/2026,#######
Katampe,Abuja,penthouse,2,1,,not stated,yes,4200000,03/08/2026,#######
Yaba,Lagos,self-contain,0,1,,not stated,not stated,400000,01/08/2026,#######
Ikeja GRA,Lagos,flat,3,3,,not stated,yes,4100000,15/08/2026,#######
Garki,Abuja,flat,6,5,,yes,not stated,7200000,01/08/2026,#######
Ilupeju,Lagos,flat,3,2,758,no,not stated,3700000,09/08/2026,#######
Ikoyi,Lagos,self-contain,0,1,,not stated,not stated,1300000,13/08/2026,#######
Garki,Abuja,flat,3,4,,yes,no,3200000,10/08/2026,#######
Guzape,Abuja,duplex,6,7,248,yes,no,7400000,02/08/2026,#######
Maryland,Lagos,bungalow,1,1,109,yes,yes,1300000,15/08/2026,#######
Jahi,Abuja,bungalow,2,1,,not stated,not stated,4100000,12/08/2026,#######
Gbagada,Lagos,bungalow,1,2,73,no,no,2400000,14/08/2026,#######
Dutse,Abuja,penthouse,5,6,,yes,yes,7700000,05/08/2026,#######
Mabushi,Abuja,terrace,2,1,,not stated,yes,3100000,09/08/2026,#######
Surulere,Lagos,penthouse,2,3,,no,not stated,3800000,05/08/2026,#######
Amuwo Odofin,Lagos,terrace,3,3,167,not stated,not stated,2900000,10/08/2026,#######
VGC,Lagos,self-contain,0,1,,not stated,not stated,1300000,16/08/2026,#######
Ikeja GRA,Lagos,flat,3,4,,no,not stated,4100000,06/08/2026,#######
Lugbe,Abuja,penthouse,2,1,74,not stated,yes,4400000,13/08/2026,#######
Katampe,Abuja,terrace,1,1,82,not stated,yes,3100000,14/08/2026,#######
Katampe,Abuja,terrace,3,2,678,not stated,yes,3000000,18/08/2026,#######
Festac,Lagos,penthouse,3,4,,no,not stated,4600000,10/08/2026,#######
Amuwo Odofin,Lagos,flat,2,2,73,yes,no,3400000,04/08/2026,#######
Sangotedo,Lagos,flat,3,4,602,no,not stated,3900000,16/08/2026,#######
Gbagada,Lagos,duplex,5,6,544,yes,no,6100000,17/08/2026,#######
Ilupeju,Lagos,bungalow,4,5,,yes,no,4900000,08/08/2026,#######
Maitama,Abuja,flat,2,2,129,yes,not stated,5900000,18/08/2026,#######
Katampe,Abuja,duplex,2,3,,yes,yes,4000000,12/08/2026,#######
Ikeja GRA,Lagos,flat,3,2,,not stated,not stated,5700000,06/08/2026,#######
Guzape,Abuja,bungalow,5,6,292,no,not stated,7000000,16/08/2026,#######
Ajah,Lagos,penthouse,5,4,681,not stated,not stated,7300000,05/08/2026,#######
Ilupeju,Lagos,terrace,3,4,643,no,no,4800000,04/08/2026,#######
Amuwo Odofin,Lagos,self-contain,0,1,,not stated,yes,1500000,18/08/2026,#######
Guzape,Abuja,penthouse,5,4,658,no,no,11700000,16/08/2026,#######
Festac,Lagos,penthouse,1,1,60,no,yes,4500000,06/08/2026,#######
Yaba,Lagos,bungalow,1,1,82,not stated,no,3000000,03/08/2026,#######
Lokogoma,Abuja,bungalow,2,1,,yes,not stated,2300000,14/08/2026,#######
Ojodu Berger,Lagos,self-contain,0,1,87,not stated,no,1000000,07/08/2026,#######
Ilupeju,Lagos,mansion,5,5,585,yes,not stated,9300000,18/08/2026,#######
Apo,Abuja,penthouse,3,2,631,yes,yes,4500000,10/08/2026,#######
Gbagada,Lagos,bungalow,2,1,65,yes,yes,3800000,10/08/2026,#######
Maitama,Abuja,mansion,2,1,1162,yes,no,15700000,10/08/2026,#######
Lugbe,Abuja,terrace,6,5,,no,no,5600000,09/08/2026,#######
VGC,Lagos,penthouse,2,2,,not stated,no,6700000,14/08/2026,#######
Wuse 1,Abuja,duplex,4,3,,yes,no,5500000,17/08/2026,#######
Ikeja GRA,Lagos,penthouse,5,4,593,yes,not stated,8900000,12/08/2026,#######
Apo,Abuja,terrace,5,6,498,no,no,6200000,11/08/2026,#######
Dutse,Abuja,terrace,2,1,145,not stated,yes,3900000,08/08/2026,#######
Ilupeju,Lagos,self-contain,0,1,94,no,no,1400000,15/08/2026,#######
Mabushi,Abuja,penthouse,3,3,645,yes,not stated,5100000,08/08/2026,#######
Ojodu Berger,Lagos,self-contain,0,1,136,no,no,1700000,08/08/2026,#######
Ojodu Berger,Lagos,duplex,2,2,,yes,not stated,2100000,17/08/2026,#######
Ojodu Berger,Lagos,penthouse,3,3,645,not stated,no,4800000,04/08/2026,#######
Festac,Lagos,mansion,2,3,,not stated,not stated,6000000,04/08/2026,#######
Ikeja GRA,Lagos,penthouse,3,4,451,no,yes,8100000,16/08/2026,#######
Ojodu Berger,Lagos,bungalow,2,2,127,no,yes,3100000,18/08/2026,#######
Apo,Abuja,duplex,4,4,,no,no,5100000,16/08/2026,#######
Surulere,Lagos,bungalow,2,1,59,yes,no,2600000,02/08/2026,#######
Wuse 1,Abuja,flat,2,1,59,no,not stated,2100000,03/08/2026,#######
Asokoro,Abuja,self-contain,0,1,111,no,not stated,2000000,18/08/2026,#######
Magodo,Lagos,penthouse,5,5,,not stated,no,9200000,15/08/2026,#######
Yaba,Lagos,terrace,3,3,506,yes,not stated,3500000,11/08/2026,#######
Katampe,Abuja,self-contain,0,1,100,not stated,no,600000,03/08/2026,#######
Opebi,Lagos,penthouse,2,2,48,not stated,not stated,4100000,08/08/2026,#######
Magodo,Lagos,bungalow,2,3,,no,not stated,3900000,07/08/2026,#######
Lokogoma,Abuja,bungalow,1,2,101,not stated,no,2200000,10/08/2026,#######
Guzape,Abuja,terrace,2,2,91,no,not stated,4900000,05/08/2026,#######
Amuwo Odofin,Lagos,mansion,2,3,1065,no,yes,7000000,18/08/2026,#######
Mabushi,Abuja,mansion,5,5,1088,yes,yes,7700000,02/08/2026,#######
Yaba,Lagos,terrace,2,3,,yes,not stated,3500000,15/08/2026,#######
Victoria Island,Lagos,duplex,3,4,,not stated,not stated,6700000,11/08/2026,#######
Katampe,Abuja,duplex,5,4,334,no,no,6000000,05/08/2026,#######
Asokoro,Abuja,penthouse,3,4,318,no,yes,11100000,14/08/2026,#######
Sangotedo,Lagos,self-contain,0,1,,not stated,no,100000,04/08/2026,#######
Sangotedo,Lagos,self-contain,0,1,87,no,yes,1500000,14/08/2026,#######
Lekki Phase 1,Lagos,bungalow,2,3,124,yes,yes,4700000,01/08/2026,#######
Allen,Lagos,duplex,1,1,41,yes,no,3100000,12/08/2026,#######
Lugbe,Abuja,mansion,2,1,,yes,no,5600000,08/08/2026,#######
Guzape,Abuja,mansion,2,1,1168,not stated,yes,11100000,08/08/2026,#######
Maitama,Abuja,duplex,4,3,539,not stated,yes,7700000,10/08/2026,#######
Maryland,Lagos,bungalow,3,2,537,yes,not stated,4400000,11/08/2026,#######
Sangotedo,Lagos,mansion,2,3,1198,no,no,5500000,06/08/2026,#######
Festac,Lagos,self-contain,0,1,,not stated,no,1000000,18/08/2026,#######
Guzape,Abuja,mansion,1,1,698,no,not stated,10900000,06/08/2026,#######
Life Camp,Abuja,mansion,2,3,,not stated,no,6300000,01/08/2026,#######
Ikeja GRA,Lagos,bungalow,4,4,523,no,not stated,5400000,03/08/2026,#######
Ilupeju,Lagos,mansion,3,3,,no,no,7500000,10/08/2026,#######
Lugbe,Abuja,bungalow,3,3,220,no,yes,3600000,05/08/2026,#######
Asokoro,Abuja,mansion,2,2,,not stated,not stated,15200000,10/08/2026,#######
Ojodu Berger,Lagos,duplex,4,3,308,yes,not stated,4300000,12/08/2026,#######
Ikeja,Lagos,flat,2,3,,yes,no,3100000,02/08/2026,#######
Amuwo Odofin,Lagos,terrace,6,6,224,not stated,no,6500000,15/08/2026,#######
Ikeja,Lagos,bungalow,6,6,783,not stated,not stated,5400000,15/08/2026,#######
Lekki Phase 1,Lagos,terrace,4,5,547,yes,not stated,7600000,06/08/2026,#######
Katampe,Abuja,flat,3,2,,not stated,not stated,4400000,17/08/2026,#######
Magodo,Lagos,penthouse,1,2,,yes,yes,7000000,16/08/2026,#######
Apo,Abuja,self-contain,0,1,,no,no,400000,15/08/2026,#######
Asokoro,Abuja,terrace,3,4,,yes,yes,7300000,17/08/2026,#######
Amuwo Odofin,Lagos,penthouse,3,3,,not stated,yes,5300000,09/08/2026,#######
Lekki Phase 2,Lagos,mansion,2,2,685,no,no,6400000,11/08/2026,#######
Lugbe,Abuja,duplex,4,3,,no,not stated,5100000,10/08/2026,#######
Guzape,Abuja,bungalow,3,4,538,not stated,yes,6000000,04/08/2026,#######
Ilupeju,Lagos,mansion,3,2,613,yes,not stated,6000000,15/08/2026,#######
Ikeja GRA,Lagos,flat,3,4,360,yes,not stated,5100000,16/08/2026,#######
Lugbe,Abuja,terrace,1,2,104,not stated,no,2600000,16/08/2026,#######
Gwarinpa,Abuja,flat,1,1,61,no,no,2900000,05/08/2026,#######
Sangotedo,Lagos,penthouse,1,1,,not stated,not stated,4400000,08/08/2026,#######
Dutse,Abuja,mansion,4,4,863,yes,yes,7300000,04/08/2026,#######
Guzape,Abuja,terrace,1,1,107,no,not stated,2800000,10/08/2026,#######
Ilupeju,Lagos,mansion,5,5,,no,yes,8400000,18/08/2026,#######
Maryland,Lagos,bungalow,2,2,46,not stated,no,2900000,01/08/2026,#######
Lekki Phase 2,Lagos,flat,1,1,,no,no,1800000,11/08/2026,#######
Lugbe,Abuja,terrace,3,3,275,no,no,4500000,11/08/2026,#######
Victoria Island,Lagos,flat,2,2,84,no,no,4300000,11/08/2026,#######
Ajah,Lagos,duplex,5,4,,yes,no,6200000,18/08/2026,#######
Mabushi,Abuja,bungalow,4,5,196,yes,yes,4900000,04/08/2026,#######
Life Camp,Abuja,penthouse,6,6,513,not stated,yes,7100000,18/08/2026,#######
Ikeja GRA,Lagos,bungalow,5,5,562,not stated,yes,7100000,10/08/2026,#######
Maitama,Abuja,self-contain,0,1,,not stated,not stated,2200000,07/08/2026,#######
Amuwo Odofin,Lagos,terrace,1,2,82,no,yes,2700000,07/08/2026,#######
Maryland,Lagos,flat,2,3,91,no,no,2500000,06/08/2026,#######
Mabushi,Abuja,self-contain,0,1,46,yes,no,1100000,11/08/2026,#######
Wuse 1,Abuja,self-contain,0,1,,not stated,yes,1600000,06/08/2026,#######
Life Camp,Abuja,mansion,3,3,795,no,not stated,6500000,07/08/2026,#######
Jahi,Abuja,terrace,3,2,704,yes,no,5900000,03/08/2026,#######
Guzape,Abuja,bungalow,3,3,455,yes,no,4400000,01/08/2026,#######
Yaba,Lagos,flat,2,1,,no,yes,2900000,09/08/2026,#######
